date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:15	23/23	---M--	200	added ('OK')	text/plain	etag:%2217-56052fa641100%22	https://www.clapat.com/robots.txt		(from )
09:49:15	48766/48766	---M-Z	200	added ('OK')	text/html	etag:%22be7e-5e699c4ff3e40-gzip%22	https://www.clapat.com/templates/humpton/	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index.html	(from )
09:49:16	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.google-analytics.com/analytics.js	(from https://www.clapat.com/templates/humpton/)
09:49:16	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-54815b33a2a80%22	https://www.clapat.com/templates/humpton/favicon.ico	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/favicon.ico	(from https://www.clapat.com/templates/humpton/)
09:49:16	71018/71018	---M-Z	200	added ('OK')	text/css	etag:%221156a-5e694f525d980-gzip%22	https://www.clapat.com/templates/humpton/style.css	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/style.css	(from https://www.clapat.com/templates/humpton/)
09:49:17	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22189ae-5dace4d817080-gzip%22	https://www.clapat.com/templates/humpton/css/all.min.css	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/css/all.min.css	(from https://www.clapat.com/templates/humpton/)
09:49:17	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2002:49:15%20GMT	https://www.clapat.com/templates/humpton/index.html	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index-2.html	(from https://www.clapat.com/templates/humpton/)
09:49:17	48766/48766	---M-Z	200	added ('OK')	text/html	etag:%22be7e-5e699c4ff3e40-gzip%22	https://www.clapat.com/templates/humpton/index/	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index/index.html	(from https://www.clapat.com/templates/humpton/)
09:49:17	2831/2831	---M--	200	added ('OK')	image/png	etag:%22b0f-5e5323a5f4180%22	https://www.clapat.com/templates/humpton/images/logo.png	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/images/logo.png	(from https://www.clapat.com/templates/humpton/)
09:49:17	2909/2909	---M--	200	added ('OK')	image/png	etag:%22b5d-5e5323aca1140%22	https://www.clapat.com/templates/humpton/images/logo-white.png	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/images/logo-white.png	(from https://www.clapat.com/templates/humpton/)
09:49:17	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2002:49:16%20GMT	https://www.clapat.com/templates/humpton/index-showcase.html	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index-showcase.html	(from https://www.clapat.com/templates/humpton/)
09:49:18	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2002:49:16%20GMT	https://www.clapat.com/templates/humpton/index-carousel.html	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index-carousel.html	(from https://www.clapat.com/templates/humpton/)
09:49:18	20436/20436	---M-Z	200	added ('OK')	text/html	etag:%224fd4-5e6987d8774c0-gzip%22	https://www.clapat.com/templates/humpton/index-showcase/	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index-showcase/index.html	(from https://www.clapat.com/templates/humpton/)
09:49:18	23530/23530	---M-Z	200	added ('OK')	text/html	etag:%225bea-5e69881398040-gzip%22	https://www.clapat.com/templates/humpton/index-carousel/	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/index-carousel/index.html	(from https://www.clapat.com/templates/humpton/)
09:49:19	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2002:49:17%20GMT	https://www.clapat.com/templates/humpton/portfolio-overlapping-grid.html	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/portfolio-overlapping-grid.9.delayed	(from https://www.clapat.com/templates/humpton/)
09:49:19	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2002:49:18%20GMT	https://www.clapat.com/templates/humpton/portfolio-parallax-grid.html	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/portfolio-parallax-grid.html	(from https://www.clapat.com/templates/humpton/)
09:49:19	30228/30228	---M-Z	200	added ('OK')	text/html	etag:%227614-5e6987ea95f80-gzip%22	https://www.clapat.com/templates/humpton/portfolio-overlapping-grid/	C:/Users/Admin/Desktop/New%20folder/https___www.clapat.com_templates_humpton_/www.clapat.com/templates/humpton/portfolio-overlapping-grid/index.html	(from https://www.clapat.com/templates/humpton/)
